WAR,AB,R,HR,TB,RBI,BB,IB,SF,AVG,OBP,SLG,OPS,wRC+
-0.53,91,5,0,24,8,14,0,2,0.22,0.33,0.264,0.594,66.4
-0.16,87,14,3,33,10,4,0,1,0.241,0.272,0.379,0.651,57.9
-1.04,84,7,1,20,5,2,0,0,0.19,0.227,0.238,0.465,9.9
-0.19,59,6,1,16,3,6,0,0,0.169,0.3,0.271,0.571,61.7
-0.13,55,7,1,15,5,6,0,0,0.2,0.279,0.273,0.552,42.4
-0.27,49,5,0,7,1,10,0,0,0.102,0.254,0.143,0.397,12.6
-0.87,49,4,1,8,5,7,0,1,0.102,0.211,0.163,0.374,-8.3
-0.74,37,3,0,5,1,2,0,0,0.108,0.154,0.135,0.289,-43.9
-0.4,32,2,0,4,2,4,0,0,0.125,0.243,0.125,0.368,1.5
-0.12,20,0,0,3,2,1,0,0,0.15,0.292,0.15,0.442,37.3
-0.5,19,2,0,5,0,2,0,0,0.211,0.286,0.263,0.549,42.8
-0.02,9,1,0,3,2,1,0,0,0.222,0.364,0.333,0.697,110.5
-0.07,7,1,0,1,0,0,0,0,0.143,0.143,0.143,0.286,-52.9
-0.1,5,0,0,1,1,1,0,0,0.2,0.429,0.2,0.629,115.9
-0.22,5,0,0,0,0,0,0,0,0,0,0,0,-154.2
-0.08,3,0,0,0,0,0,0,0,0,0,0,0,-154.5
-0.05,1,1,0,0,0,0,0,0,0,0,0,0,-151.2
6.5,572,108,32,325,112,88,9,4,0.329,0.421,0.568,0.989,153.3
2.12,550,92,26,264,96,59,4,2,0.289,0.36,0.48,0.84,112.3
-0.3,493,60,13,189,58,34,0,2,0.26,0.309,0.383,0.692,72.2
3.23,418,53,19,188,81,60,1,8,0.268,0.355,0.45,0.805,104.2
0.88,404,49,7,159,59,50,1,7,0.275,0.355,0.394,0.749,94.1
1.89,369,60,4,140,45,37,0,1,0.276,0.351,0.379,0.73,91.5
1.64,347,50,17,151,58,45,2,3,0.256,0.351,0.435,0.786,101.7
2.2,351,47,1,147,34,35,1,3,0.353,0.41,0.419,0.829,118
-0.45,232,27,8,94,37,30,0,8,0.246,0.327,0.405,0.732,84.3
0.3,234,41,1,86,17,18,0,1,0.295,0.346,0.368,0.714,84.6
1.52,174,33,6,85,27,18,0,2,0.293,0.369,0.489,0.858,120.7
0.64,169,22,3,58,28,17,0,0,0.266,0.337,0.343,0.68,75.5
-0.52,149,17,0,42,13,13,0,0,0.248,0.309,0.282,0.591,51.9
0.82,122,18,3,46,19,16,0,2,0.279,0.371,0.377,0.748,97.6
-0.13,101,10,3,31,10,16,0,0,0.198,0.331,0.307,0.638,72.7
0.17,62,9,0,16,3,8,0,0,0.226,0.324,0.258,0.582,57.8
-0.22,44,12,0,11,3,2,0,0,0.25,0.283,0.25,0.533,30.8
0.46,36,2,0,13,3,3,0,1,0.306,0.35,0.361,0.711,81.4
-0.61,41,3,0,7,0,1,0,0,0.146,0.167,0.171,0.338,-32.6
0.34,26,4,1,12,8,8,0,0,0.308,0.471,0.462,0.933,161.1
0.15,25,6,0,8,3,5,0,0,0.24,0.367,0.32,0.687,91.3
-0.07,25,5,1,10,2,2,0,1,0.2,0.276,0.4,0.676,67.3
-0.38,24,2,0,4,1,1,0,0,0.125,0.16,0.167,0.327,-34.1
-0.18,18,5,0,6,2,3,0,0,0.222,0.333,0.333,0.666,78
-0.18,14,8,0,3,1,3,0,0,0.214,0.421,0.214,0.635,105.2
-0.04,14,1,0,1,0,4,0,0,0.071,0.278,0.071,0.349,13.5
-0.23,17,3,0,5,0,1,0,0,0.176,0.222,0.294,0.516,21.9
0.16,14,9,0,5,1,2,0,0,0.357,0.438,0.357,0.795,121.4
-0.31,14,6,0,3,0,0,0,0,0.214,0.214,0.214,0.428,-7.4
-0.09,9,3,0,2,0,1,0,0,0.222,0.3,0.222,0.522,37.9
0.05,3,2,0,3,1,0,0,0,0.667,0.667,1,1.667,354.6
0.01,1,0,0,0,0,0,0,0,0,0,0,0,-127.9
5.06,524,96,5,215,73,96,3,4,0.336,0.447,0.41,0.857,142.3
5.06,527,99,32,302,132,61,6,13,0.319,0.384,0.573,0.957,147.8
